index,source,input,answer,CHANGE_VARIABLE_IN_CONDITION,CHANGE_VARIABLE_IN_CONDITION2,CHANGE_VARIABLE_IN_LOOP,CHANGE_VARIABLE_IN_LOOP2,CHANGE_VARIABLE_IN_SIMPLE_LOOP,NEGLECT_FOR_LOOP,REGARD_AS_ARRAY,CHANGE_SIGN_OF_INEQUALITY,type
1,r101.cpp,3,7,,,,,,,,,trace
2,r102.cpp,3,"[3,1,2,1]",,,,,,,,,trace_output
3,r103.cpp,3,7,,,,,,,,,trace
4,r002.cpp,4,24,,,,,,,,,trace
5,r001.cpp,20,1,,,,,,,,,trace
6,r105.cpp,3,"[3,1,-1,0,2,0,1,-1,0]",,,,,,,,,trace_output
7,r107.cpp,5,21,,,,,,,,,trace
8,r004.cpp,4,15,,,,,,,,,trace
9,r005.cpp,3,10,,,,,,,,,trace
10,r003.cpp,"[5,2]",10,,,,,,,,,trace_more_than_one
