index,source,input,answer,CHANGE_VARIABLE_IN_CONDITION,CHANGE_VARIABLE_IN_CONDITION2,CHANGE_VARIABLE_IN_LOOP,CHANGE_VARIABLE_IN_LOOP2,CHANGE_VARIABLE_IN_SIMPLE_LOOP,NEGLECT_FOR_LOOP,REGARD_AS_ARRAY,type,trace
1,a1.cpp,3,-3,-,-,-,-,-,-,-,trace
2,a1.cpp,4,4,-,-,-,-,-,-,-,trace
3,a2.cpp,3,3,-,-,-,-,-,-,-,trace
4,a2.cpp,4,-4,-,-,-,-,-,-,-,trace
5,a3.cpp,3,9,-,-,6,-,6,3,"[1, 2, 3]",trace
6,a3.cpp,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]",trace
7,a4.cpp,3,6,-,-,-,9,-,-,"[1, 2, 3]",trace
8,a4.cpp,4,10,-,-,-,16,-,-,"[1, 2, 3, 4]",trace
9,a5.cpp,3,-9,-,-,-6,-,-,-3,"[-1, -2, -3]",trace
10,a5.cpp,4,16,-8,-,-2,-,-,4,"[-1, -2, -3, 4]",trace
11,a6.cpp,3,9,-3,-,0,-,-,3,"[-1, -2, 3]",trace
12,a6.cpp,4,-16,-8,-,-4,-,-,-4,"[-1, -2, 3, -4]",trace
13,a7.cpp,3,-6,-,-,-,-9,-,-,"[-1, -2, -3]",trace
14,a7.cpp,4,-2,-,10,-,16,-,-,"[-1, -2, -3, 4]",trace
15,a8.cpp,3,0,-,6,-,9,-,-,-,trace
16,a8.cpp,4,-4,-,-10,-,-16,-,-,"[-1, -2, 3, -4]",trace
17,a9.cpp,3,-3,-,-,-,-,-,-,-,trace
18,a9.cpp,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]",trace
19,a10.cpp,3,3,-,-,-,-,-,-,-,trace
20,a10.cpp,4,-16,-,-,-10,-,-10,-4,"[-1, -2, -3, -4]",trace
